LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-72.6771775,41.7684543,1,CIVIC CENTER PLZ,,,,,,,35ef32349d63891f
-72.6772222,41.7683543,1,CIVIC CENTER PLZ,,,,,,,29b0c29fa754b243
-72.6720599,41.7663704,80,STATE HOUSE SQ,,,,,,,58b0237bf865e680
-72.6769559,41.7676351,1,CIVIC CENTER PLZ,,,,,,,2ac0eee3337365ec
-72.6725869,41.7673181,30,STATE HOUSE SQ,,,,,,,67b5a4d1c1cfdca8
-72.6699224,41.7672584,200,CONSTITUTION PLZ,,,,,,,23bf65b82a4a19d6
-72.6766621,41.7687348,1,CIVIC CENTER PLZ,,,,,,,4be8acf8d36fdb55
-72.6768401,41.768754,1,CIVIC CENTER PLZ,,,,,,,ce421231349a8d00
-72.6763127,41.7683156,1,CIVIC CENTER PLZ,,,,,,,0e1267490c82bffa
-72.6774643,41.7679021,1,CIVIC CENTER PLZ,,,,,,,d67519de8dde4606
-72.6774072,41.7678164,1,CIVIC CENTER PLZ,,,,,,,2483c16b7d2391ac
-72.6571383,41.7855189,89,LEIBERT RD,,,,,,,e4a42914cc119e20
-72.6588143,41.7830019,34H,LEIBERT RD,,,,,,,eef6277093acd011
-72.6868859,41.7594451,45,GRAND ST,,,,,,,471d24faf4910402
-72.6551544,41.7886293,209,LEIBERT RD,,,,,,,f245bdf9f6180c10
-72.6763256,41.7681966,1,CIVIC CENTER PLZ,,,,,,,889fd029c07b6ce2
-72.6763448,41.7680585,1,CIVIC CENTER PLZ,,,,,,,15df31f1b8852746
-72.6764086,41.7679395,1,CIVIC CENTER PLZ,,,,,,,4e195cf708577a79
-72.6999983,41.7682612,22,GILLETT ST,,,,,,,79102b08e040878f
-72.6999279,41.7680934,320,FARMINGTON AVE,,,,,,,7c2b64693b04799e
-72.6995589,41.7679722,316,FARMINGTON AVE,,,,,,,2f28458d00c733be
-72.6996865,41.7679772,318,FARMINGTON AVE,,,,,,,9add33ce92c4f684
-72.6727724,41.7376232,22,BROWN ST,,,,,,,5184f50733c33122
-72.6858751,41.7657958,280,BROAD ST,,,,,,,8fadba256084ab8c
-72.6744546,41.7388174,57,BODWELL ST,,,,,,,af30e634636ee811
-72.6724682,41.7391567,13,BODWELL ST,,,,,,,65d1eb01cb80a423
-72.6774112,41.7372241,9,WINSHIP ST,,,,,,,04d1ac75d4443bde
-72.6751071,41.7413029,73,REDDING ST,,,,,,,2f7b8dba69544452
-72.6774881,41.7374096,17,WINSHIP ST,,,,,,,f46bbec46e5830fb
-72.6738584,41.7358035,66,SOUTH ST,,,,,,,8bdd69f3fc676e7c
-72.6736921,41.7358313,62,SOUTH ST,,,,,,,4861fb651a93446d
-72.6710629,41.7329158,19,HANMER ST,,,,,,,f4cd108a52673312
-72.6747988,41.7399812,60,PRESTON ST,,,,,,,492eba0bd0e06f7a
-72.6736243,41.7417894,30,REDDING ST,,,,,,,d109a4addad9cdee
-72.6736037,41.7363848,55,STANDISH ST,,,,,,,e024244eb73f7e12
-72.6742446,41.7388646,51,BODWELL ST,,,,,,,b445335416b53e33
-72.6814109,41.7363297,212,CAMPFIELD AVE,,,,,,,a595263c568e9824
-72.6740123,41.7665332,33,ASYLUM ST,,,,,,,87368d109b7f7e0c
-72.6726857,41.7327094,55,HANMER ST,,,,,,,d4d9c8f346859727
-72.6735116,41.7358405,58,SOUTH ST,,,,,,,176613437c819523
-72.6735301,41.7366741,56,STANDISH ST,,,,,,,47358c7baa4b947d
-72.6710387,41.7340451,12,PLYMOUTH ST,,,,,,,8ef1057eb789f1de
-72.6737047,41.7366533,60,STANDISH ST,,,,,,,711bec8cecd291a0
-72.6731709,41.7358936,50,SOUTH ST,,,,,,,7e238991e9436825
-72.675416,41.7653889,31,LEWIS ST,,,,,,,c67e003893a08833
-72.6740953,41.741452,43,REDDING ST,,,,,,,6e1d3d93d9008ccd
-72.6791064,41.7370994,37,GILMAN ST,,,,,,,4584b85f5e1b5069
-72.6761154,41.7368735,87,BROWN ST,,,,,,,669f9de1271f8adc
-72.6721125,41.7339278,36,PLYMOUTH ST,,,,,,,b0c3dbf415af17d1
-72.6733071,41.7349369,18,MC LEAN ST,,,,,,,ff384ebd950e4ad7
-72.6723123,41.7368603,28,STANDISH ST,,,,,,,4d6aa2bb5abd7dc4
-72.6741465,41.7424861,32,ADELAIDE ST,,,,,,,90afb0599a2f1b9d
-72.6719134,41.7344286,15,ROOSEVELT ST,,,,,,,81bb8ab483f750f3
-72.6737267,41.738957,41,BODWELL ST,,,,,,,3d0daa6269ba9cdf
-72.6730521,41.7399349,23,PRESTON ST,,,,,,,61cd5827854c9869
-72.6780639,41.7361046,154,STANDISH ST,,,,,,,17939d3d178c0a9c
-72.6733661,41.7398806,29,PRESTON ST,,,,,,,bf38cae4fc19f640
-72.6714924,41.7340142,22,PLYMOUTH ST,,,,,,,e8ea5472408e5d7d
-72.6728572,41.7367899,38,STANDISH ST,,,,,,,0d0733b1847307f2
-72.6728492,41.7384973,28,WAYLAND ST,,,,,,,b696626fcbf7d7a3
-72.6729784,41.7367621,40,STANDISH ST,,,,,,,e5d557026df4ce50
-72.6724498,41.7373967,19,BROWN ST,,,,,,,1b5d9ddfcf1f96c6
-72.674298,41.7416644,48,REDDING ST,,,,,,,977946d8be6e1682
-72.6740493,41.7401042,44,PRESTON ST,,,,,,,4698af88306fd171
-72.6724543,41.7368519,30,STANDISH ST,,,,,,,d1ca15058698bb73
-72.6735458,41.7422914,17,ADELAIDE ST,,,,,,,9974df93de8ee260
-72.6739207,41.7383212,52,WAYLAND ST,,,,,,,2c1d7ae36da9979c
-72.6731166,41.7329395,64,HANMER ST,,,,,,,c76948f1bce816c3
-72.6782163,41.7374036,17,GILMAN ST,,,,,,,52136c3b74e381c5
-72.6737492,41.7325809,77,HANMER ST,,,,,,,6352433d6ed8c35c
-72.6713152,41.7345046,1,ROOSEVELT ST,,,,,,,785b1379757e68a9
-72.6767968,41.7367621,105,BROWN ST,,,,,,,a4f8d53c968bcfa3
-72.678061,41.7374393,13,GILMAN ST,,,,,,,c0b3f9a78d94630a
-72.6731283,41.7364741,45,STANDISH ST,,,,,,,e4c7c2c1eee0f843
-72.677851,41.7366162,129,BROWN ST,,,,,,,4f41e8d94f0f483c
-72.6731954,41.7345206,58,ROOSEVELT ST,,,,,,,7845b856555f320d
-72.6770166,41.7362411,132,STANDISH ST,,,,,,,d79c2787785dda0b
-72.6728712,41.7345565,50,ROOSEVELT ST,,,,,,,0e6b3c9df456cbbd
-72.6737734,41.7415075,35,REDDING ST,,,,,,,cabb9183474860e6
-72.6811372,41.7401332,111,BUSHNELL ST,,,,,,,cd0b19a9f1349bdd
-72.6836805,41.7378806,11,ROCKINGHAM ST,,,,,,,304e3f097cd35cb1
-72.6842468,41.736637,153,DOUGLAS ST,,,,,,,24a24bb91e246cd8
-72.675423,41.7420068,63,ADELAIDE ST,,,,,,,49182d291595dd3a
-72.6762008,41.7404446,349,FRANKLIN AVE,,,,,,,ca84d47157a9ac67
-72.6777863,41.7405548,37,BUSHNELL ST,,,,,,,9136857b0a86a65b
-72.6900155,41.745521,86,CRESCENT ST,,,,,,,77f8ce7ea3c8e51f
-72.7032179,41.7569842,17,BARTHOLOMEW AVE,,,,,,,1943540ce15f0df2
-72.6897426,41.7439826,210,NEW BRITAIN AVE,,,,,,,5c85d529ea5f9e4c
-72.6838065,41.7355813,264,BROWN ST,,,,,,,40d6192f021c3331
-72.6801238,41.737052,61,GILMAN ST,,,,,,,5eca0c1bf525f650
-72.6726644,41.7385295,24,WAYLAND ST,,,,,,,4df1fb5b9c3006e5
-72.6818079,41.7362492,209,CAMPFIELD AVE,,,,,,,ca920511734a125c
-72.6841977,41.7373622,26,CLARENDON ST,,,,,,,1f1573f5e4a9fed2
-72.6909422,41.7513029,110,VERNON ST,,,,,,,8ec763a22012ae87
-72.683055,41.7383249,245,PRESTON ST,,,,,,,c4310b865e3f5c11
-72.6745866,41.7413606,57,REDDING ST,,,,,,,9d80e1043499234e
-72.6736399,41.7425623,20,ADELAIDE ST,,,,,,,5fd9f74418c7c636
-72.6732346,41.7426144,10,ADELAIDE ST,,,,,,,4d1d2e9b17f7d1fe
-72.6781068,41.7374328,15,GILMAN ST,,,,,,,936c880b447d58e4
-72.6724875,41.7385592,20,WAYLAND ST,,,,,,,8a73c97e3ea08180
-72.6779383,41.7403812,41,BUSHNELL ST,,,,,,,f7957bf99edcccd8
-72.6830868,41.7357577,248,BROWN ST,,,,,,,10d614419fad0540
-72.6844286,41.7361495,160,GILMAN ST,,,,,,,606d6e88ecc9961b
-72.6774882,41.7366775,119,BROWN ST,,,,,,,8c272c600e2f24ce
-72.6851128,41.7364061,173,DOUGLAS ST,,,,,,,5261f190221c5bd9
-72.6737014,41.7409529,29,BLISS ST,,,,,,,a273b1d9f1541f04
-72.6735704,41.7417972,28,REDDING ST,,,,,,,6f0b8e0cbf1e4977
-72.683091,41.747518,462,WASHINGTON ST,,,,,,,4d91aa3496bed7ec
-72.6832343,41.7364182,132,GILMAN ST,,,,,,,30b2cb2417be099a
-72.6810326,41.7375669,77,DOUGLAS ST,,,,,,,3683cbbd54dd3f11
-72.6832569,41.7361308,135,GILMAN ST,,,,,,,67ac6f0b5a7c6807
-72.6844282,41.7370514,31,CLARENDON ST,,,,,,,6c96b8871f3ec948
-72.6898783,41.7449117,104,CRESCENT ST,,,,,,,63c033fd1bad2299
-72.6834814,41.7374422,25,ROCKINGHAM ST,,,,,,,0985442f857b375c
-72.6777384,41.7361503,146,STANDISH ST,,,,,,,8d8c74076d57126d
-72.6772433,41.7406619,21,BUSHNELL ST,,,,,,,d1c205f1efb75d39
-72.6729794,41.7399482,21,PRESTON ST,,,,,,,3f4b345d044ba5cb
-72.6776787,41.7366595,125,BROWN ST,,,,,,,ab5fba5d7ae3f56f
-72.6802698,41.7372931,62,GILMAN ST,,,,,,,f6051c40245a0c7f
-72.6750655,41.7396152,67,PRESTON ST,,,,,,,c5057b7c84cc2890
-72.6833901,41.7368232,133,DOUGLAS ST,,,,,,,6c57ad6911fe5490
-72.6862257,41.7349554,320,BROWN ST,,,,,,,60664f6bd0af3034
-72.6891614,41.7415254,67,HENRY ST,,,,,,,95c98de4bb5b82eb
-72.6868415,41.764527,361,BROAD ST,,,,,,,24370f9202d2365a
-72.6858695,41.7354955,195,GILMAN ST,,,,,,,54094323c0cfd790
-72.67995,41.7397987,106,OTIS ST,,,,,,,6e69770414b356ef
-72.6842531,41.7361906,156,GILMAN ST,,,,,,,46cf374cf7300423
-72.6731943,41.7423662,11,ADELAIDE ST,,,,,,,5734511ef93306c0
-72.6840583,41.7366439,149,DOUGLAS ST,,,,,,,9deed47f514047c6
-72.6746298,41.7387834,61,BODWELL ST,,,,,,,75bcf314ac47d42d
-72.6810853,41.7401184,109,BUSHNELL ST,,,,,,,f3a852f806738c5f
-72.6860544,41.7349811,316,BROWN ST,,,,,,,dab4e06f7c9e624f
-72.6792256,41.7398818,88,OTIS ST,,,,,,,a26265efd58ff303
-72.6731134,41.7381786,33,WAYLAND ST,,,,,,,768edac48d02f7e4
-72.6821804,41.7475598,36,BARNARD ST,,,,,,,62c8d11bf17dee33
-72.682332,41.7394299,118,CAMPFIELD AVE,,,,,,,adb342a6993f4689
-72.6833767,41.737134,134,DOUGLAS ST,,,,,,,1102a559dbf5372b
-72.6812585,41.7374771,83,DOUGLAS ST,,,,,,,ec8a45bf6863a2d7
-72.6785956,41.7365332,145,BROWN ST,,,,,,,6d38a24291b47af7
-72.6763073,41.7363243,116,STANDISH ST,,,,,,,1b9bcd06649568d1
-72.674048,41.7414432,41,REDDING ST,,,,,,,8bf0cc8243d3b6ed
-72.6746865,41.7396639,59,PRESTON ST,,,,,,,d013ec2338db0eaa
-72.6764439,41.7363248,118,STANDISH ST,,,,,,,487650d9a2c211b0
-72.6808369,41.7368354,77,GILMAN ST,,,,,,,245c1d637ab7a53f
-72.6739204,41.7389193,45,BODWELL ST,,,,,,,209a8b0767fdffe1
-72.6724374,41.7385687,18,WAYLAND ST,,,,,,,83d8a054c3b1fa07
-72.6746345,41.7400004,56,PRESTON ST,,,,,,,ddef202af02906c9
-72.6859718,41.7373619,819,MAPLE AVE,,,,,,,67afe0a1ac859a9e
-72.6846887,41.7398296,739,MAPLE AVE,,,,,,,037bd53e8398baf0
-72.6865096,41.7353255,880,MAPLE AVE,,,,,,,f48d42e8350888c2
-72.6748763,41.7396427,61,PRESTON ST,,,,,,,c7dace40e9dd734b
-72.6861048,41.7522263,65,ALLEN PL,,,,,,,7aefad4502597756
-72.6814068,41.7363674,210,CAMPFIELD AVE,,,,,,,e74293882967d66d
-72.6839048,41.7366887,145,DOUGLAS ST,,,,,,,c85a33f610668fa7
-72.6780029,41.7366117,131,BROWN ST,,,,,,,11c4ddfe2179966d
-72.6804289,41.7369514,67,GILMAN ST,,,,,,,4652648a9d6a501d
-72.6859712,41.7373338,821,MAPLE AVE,,,,,,,2c8c2f486487c9dd
-72.677056,41.7406852,19,BUSHNELL ST,,,,,,,f198261505fab918
-72.6834937,41.7374696,23,ROCKINGHAM ST,,,,,,,7e44da9a0e22f7da
-72.6762239,41.7368507,91,BROWN ST,,,,,,,5937fa98c6774b82
-72.6731666,41.7410481,19,BLISS ST,,,,,,,f5e15fcdb8b347fd
-72.6828773,41.7358249,242,BROWN ST,,,,,,,a9f5abe6445d7614
-72.6830941,41.738302,247,PRESTON ST,,,,,,,dfe6457ae393750b
-72.6813245,41.7410952,191,ADELAIDE ST,,,,,,,470ca2939dc0a4af
-72.6858667,41.7826604,57,ENFIELD ST,27,,,,,,8d9117849cb00bc7
-72.680319,41.7415105,168,ADELAIDE ST,,,,,,,21b44150cd4d09a9
-72.6785686,41.7384742,20,DOUGLAS ST,,,,,,,753add6d2c0255d2
-72.6811034,41.7404067,110,BUSHNELL ST,,,,,,,4b6a69d4070c14df
-72.6785021,41.7384836,18,DOUGLAS ST,,,,,,,1c59312e47f544d3
-72.6847364,41.7386925,780,MAPLE AVE,,,,,,,4e3c646f3030f730
-72.6795358,41.7413479,151,ADELAIDE ST,,,,,,,563ae54ceea2d7e9
-72.6835441,41.7408675,700,MAPLE AVE,501,,,,,,7d192ad6d8ce89a2
-72.6837044,41.7400712,167,BUSHNELL ST,,,,,,,1990e3056211a139
-72.6833888,41.7410246,700,MAPLE AVE,305,,,,,,9b1d6dd42dc0662a
-72.682386,41.7412437,64,CAMPFIELD AVE,,,,,,,f78275e91396326c
-72.6815715,41.7413242,198,ADELAIDE ST,,,,,,,2043402cf4fdad98
-72.7067808,41.7318133,36,NEWINGTON AVE,,,,,,,f43f2758081ecf55
-72.6834972,41.740773,700,MAPLE AVE,304,,,,,,408578fb80f3c5ca
-72.6827348,41.7418591,43,CAMPFIELD AVE,,,,,,,c5012808ff88dff2
-72.6836238,41.7385275,258,PRESTON ST,,,,,,,969b65793ffb985a
-72.6814804,41.7425068,189,BARKER ST,,,,,,,751276b8df5a90aa
-72.6769431,41.742035,94,ADELAIDE ST,,,,,,,bb19a72885932026
-72.6819526,41.7376667,170,CAMPFIELD AVE,,,,,,,95074ea9d0f925b1
-72.6835212,41.7410037,700,MAPLE AVE,206,,,,,,641cae0cb9707972
-72.676528,41.7423614,291,FRANKLIN AVE,,,,,,,c7baba13cb17e2b7
-72.6834734,41.7400403,161,BUSHNELL ST,,,,,,,12e1de3faeaf1c22
-72.6788009,41.7417766,132,ADELAIDE ST,,,,,,,b46f6fc3fd4c96c9
-72.6835931,41.740899,700,MAPLE AVE,309,,,,,,2ec1433f8fef77ee
-72.6823935,41.7413918,60,CAMPFIELD AVE,,,,,,,68376375e61c2bef
-72.6833852,41.7410458,700,MAPLE AVE,301,,,,,,0439a54614f50ceb
-72.6796896,41.7405989,78,BUSHNELL ST,,,,,,,040b83e32162434b
-72.6813611,41.7461874,489,MAPLE AVE,,,,,,,a82a7c31536b7c29
-72.6823649,41.7407702,76,CAMPFIELD AVE,,,,,,,e4a87ac6b1af68de
-72.6763205,41.7410489,335,FRANKLIN AVE,,,,,,,1dce26f0eaded97d
-72.6832326,41.7391569,195,OTIS ST,,,,,,,dccdbfc6a75dd2ea
-72.6783965,41.7384981,16,DOUGLAS ST,,,,,,,59b2380c8671814b
-72.6785946,41.7424828,129,BARKER ST,,,,,,,1a28f5ee28a57648
-72.6784929,41.7382141,19,DOUGLAS ST,,,,,,,9f7d15a314df69aa
-72.6823262,41.7366613,112,GILMAN ST,,,,,,,0c906869ac3ff84b
-72.6779914,41.7394651,132,PRESTON ST,,,,,,,308aece781b1f041
-72.6779829,41.7400136,52,OTIS ST,,,,,,,2e735e44e5dff957
-72.6850244,41.7367137,170,DOUGLAS ST,,,,,,,9f23d079719a749f
-72.6805426,41.7387226,189,PRESTON ST,,,,,,,ed99d3c5aaf24024
-72.6836531,41.7378325,13,ROCKINGHAM ST,,,,,,,f86e241a58940866
-72.6759924,41.7346962,20,FENWICK ST,,,,,,,8ca2ecdb3ceba753
-72.6856873,41.7350752,308,BROWN ST,,,,,,,7535e2886ae7a6d1
-72.6863815,41.7514598,40,VERNON ST,,,,,,,e7857e599b76427b
-72.6785414,41.7393662,142,PRESTON ST,,,,,,,9f4d7ecab810ac31
-72.6841076,41.7366347,151,DOUGLAS ST,,,,,,,cc19ec8d968e0613
-72.7148045,41.7505688,120,PROSPECT AVE,,,,,,,7c6c89eece82ca22
-72.6720995,41.7435957,5,MEADOW ST,,,,,,,968a53d9700b0140
-72.6823259,41.7397015,106,CAMPFIELD AVE,,,,,,,a3765abff2154b2e
-72.680943,41.7362667,198,BROWN ST,,,,,,,d739ab6f7248914d
-72.6804942,41.7391565,186,,CNDASC,,,,,,8e21e7bad0db6f67
-72.6792006,41.7389278,161,PRESTON ST,,,,,,,2d6ab5b9306cb069
-72.6837641,41.7381878,259,PRESTON ST,,,,,,,010298d635d7920d
-72.6836956,41.7367498,141,DOUGLAS ST,,,,,,,a0179af19a559806
-72.6774274,41.7369573,116,BROWN ST,,,,,,,649f9527f15226c7
-72.6820398,41.7367236,104,GILMAN ST,,,,,,,50056648fd33e5df
-72.6755374,41.7366754,459,FRANKLIN AVE,,,,,,,d263271fc7a5400e
-72.6757779,41.7379542,427,FRANKLIN AVE,,,,,,,e9704eb3c30ee1b0
-72.6758499,41.7384224,407,FRANKLIN AVE,,,,,,,9b524007bd59947f
-72.6758318,41.7335712,52,FENWICK ST,,,,,,,8f69aab7f9822ff4
-72.6836165,41.7377332,15,ROCKINGHAM ST,,,,,,,c3957051a8e1293b
-72.6790036,41.7367286,152,BROWN ST,,,,,,,bd9f72e6a30f98b3
-72.6919595,41.7519108,195,ALLEN PL,,,,,,,1eee3dd6bc69d7b6
-72.675255,41.7352021,503,FRANKLIN AVE,,,,,,,ae8706db3593b10b
-72.6854889,41.735877,184,GILMAN ST,,,,,,,319ba1099317d090
-72.6773812,41.7382081,38,WINSHIP ST,,,,,,,7cf9188f6643bb9c
-72.6846739,41.7375602,15,CLARENDON ST,,,,,,,078f1374bb9cad8c
-72.6830763,41.7375069,26,ROCKINGHAM ST,,,,,,,47f162a9998a9f42
-72.6863407,41.7655232,310,BROAD ST,,,,,,,49ee7f84d0d37b15
-72.6858556,41.735022,312,BROWN ST,,,,,,,14b0e2ca9003420f
-72.6815872,41.7385483,213,PRESTON ST,,,,,,,a826dc503406d3d4
-72.6776877,41.7395162,124,PRESTON ST,,,,,,,75a523824c4653fd
-72.6796181,41.7375234,40,GEORGE ST,,,,,,,aa3a6686dcd31490
-72.682939,41.7358044,244,BROWN ST,,,,,,,800a0a09c75963cf
-72.6831867,41.7368652,129,DOUGLAS ST,,,,,,,9255faa2f7f5359a
-72.6761314,41.7399474,363,FRANKLIN AVE,,,,,,,ae4380329f3c2671
-72.6795504,41.7380631,41,DOUGLAS ST,,,,,,,d96ff6f963144670
-72.6819078,41.7392875,163,OTIS ST,,,,,,,b096630270249225
-72.674896,41.7333702,555,FRANKLIN AVE,,,,,,,4408399630051dc7
-72.6803381,41.7402494,91,BUSHNELL ST,,,,,,,cdbca9ff19dd662f
-72.6775917,41.7377697,2,GILMAN ST,,,,,,,f1943a455a7fd535
-72.6839156,41.7381794,263,PRESTON ST,,,,,,,fca82d6652bb40a3
-72.6773738,41.7392434,119,PRESTON ST,,,,,,,001beb09e97296cf
-72.6828372,41.7369569,121,DOUGLAS ST,,,,,,,32cb668453646aa9
-72.6760892,41.7397349,371,FRANKLIN AVE,,,,,,,6b6814eaf513d556
-72.6801283,41.739188,178,PRESTON ST,1A,,,,,,bdbf6c84a8510bcd
-72.6752444,41.7351599,505,FRANKLIN AVE,,,,,,,b334d59f0162e10f
-72.6748034,41.7326904,577,FRANKLIN AVE,,,,,,,1aa92efa71d5d984
-72.6877771,41.7514242,62,VERNON ST,,,,,,,5fc99d41e2205ab4
-72.6759624,41.7342944,32,FENWICK ST,,,,,,,ec4960af5754a406
-72.701886,41.7540331,190,HAMILTON ST,,,,,,,4787a7840a292441
-72.6821424,41.7380563,158,CAMPFIELD AVE,,,,,,,ef1cd935bf05f09a
-72.6816068,41.73935,155,OTIS ST,,,,,,,6843fc17f851f3ce
-72.6839514,41.738155,265,PRESTON ST,,,,,,,0ce2707dee5b0c02
-72.6773436,41.7380723,34,WINSHIP ST,,,,,,,e2a9c0683876c8fc
-72.6835548,41.7376115,19,ROCKINGHAM ST,,,,,,,1f66cb13cec46488
-72.6761054,41.7397996,369,FRANKLIN AVE,,,,,,,d6d8738da9647e1a
-72.6801195,41.7391567,178,PRESTON ST,2A,,,,,,a79b07c87b5bc7cc
-72.6751968,41.7346448,519,FRANKLIN AVE,,,,,,,924447cabb672645
-72.6795693,41.7392046,166,PRESTON ST,,,,,,,f8404933df67cad9
-72.6855335,41.7351501,304,BROWN ST,,,,,,,d5d88c8960539017
-72.6781745,41.7377557,14,GILMAN ST,,,,,,,56872d58be42931a
-72.6816475,41.736866,194,CAMPFIELD AVE,,,,,,,256a86b45d0f00de
-72.678165,41.7377218,12,GILMAN ST,,,,,,,6ff15042fe125fe3
-72.6843729,41.7369318,35,CLARENDON ST,,,,,,,fe74325b706b3d89
-72.6816033,41.7368398,196,CAMPFIELD AVE,,,,,,,a7b189967adddbb5
-72.6807748,41.7401861,103,BUSHNELL ST,,,,,,,c6e9a2fc04b8c615
-72.6762505,41.7407909,339,FRANKLIN AVE,,,,,,,d3f125c8cdc4718f
-72.6748102,41.7327344,575,FRANKLIN AVE,,,,,,,3383f5eed3baa016
-72.680416,41.7402361,93,BUSHNELL ST,,,,,,,01e47df7fd9d79df
-72.6791887,41.7375485,38,GILMAN ST,,,,,,,b0e81267af3038b1
-72.6816736,41.7400479,123,BUSHNELL ST,,,,,,,65cac836929a9cb2
-72.6821751,41.7381608,156,CAMPFIELD AVE,,,,,,,92effb4b319bc5f0
-72.6766959,41.739969,27,OTIS ST,,,,,,,010d6f8c35278c32
-72.6823401,41.7391355,128,CAMPFIELD AVE,,,,,,,275f08be4b8c6999
-72.6758274,41.7383138,413,FRANKLIN AVE,,,,,,,e1d0098b79f570fb
-72.6799728,41.7415686,160,ADELAIDE ST,,,,,,,42c6ebe1440e5f5d
-72.6806503,41.7386825,191,PRESTON ST,,,,,,,b2d5e0f3ef0651ea
-72.6767926,41.7393244,105,PRESTON ST,,,,,,,d073f28de0b06164
-72.6811687,41.7385964,203,PRESTON ST,,,,,,,0da56be7d97161e8
-72.6776638,41.7419251,110,ADELAIDE ST,,,,,,,027916b6c17a5857
-72.6766373,41.7430522,271,FRANKLIN AVE,,,,,,,ff58debada803d42
-72.6786263,41.7415085,131,ADELAIDE ST,,,,,,,917f00b3d9be0b91
-72.678235,41.7418238,122,ADELAIDE ST,,,,,,,ac60d77f70c902a1
-72.6772311,41.7432238,91,BARKER ST,,,,,,,efe87837af1a4215
-72.6757861,41.7379897,425,FRANKLIN AVE,,,,,,,ae498b22d8a89c8c
-72.6773661,41.7409125,26,BUSHNELL ST,,,,,,,5c3f7caeeb593c88
-72.6785817,41.7415023,129,ADELAIDE ST,,,,,,,c94812e5035a945d
-72.6774352,41.7424771,18,STEDMAN ST,,,,,,,b82074caefc2de91
-72.6754667,41.7348689,513,FRANKLIN AVE,,,,,,,e6998f0bc5b0c7bb
-72.6790535,41.7375626,34,GILMAN ST,,,,,,,96c6dd3f00bd9ddc
-72.6827262,41.7398408,103,CAMPFIELD AVE,,,,,,,79f3cb68538b3e88
-72.6790291,41.7406844,62,BUSHNELL ST,,,,,,,19986c2428bbdb40
-72.6765125,41.742317,293,FRANKLIN AVE,,,,,,,7253d210e289e2d7
-72.6758527,41.7332967,60,FENWICK ST,,,,,,,afbed6fb4a3488c4
-72.6822528,41.7383087,150,CAMPFIELD AVE,,,,,,,c1d9fa08123fab2c
-72.6775863,41.7409004,30,BUSHNELL ST,,,,,,,29f8430ed7fbe201
-72.6811664,41.7378146,80,DOUGLAS ST,,,,,,,97891bb3d670a3c6
-72.6783395,41.7430317,117,BARKER ST,,,,,,,7054b6b92ad99191
-72.6758413,41.7334139,56,FENWICK ST,,,,,,,15993d26cfb0d730
-72.6804181,41.7412245,169,ADELAIDE ST,,,,,,,96888a23f536e945
-72.6777726,41.7368999,126,BROWN ST,,,,,,,f6e5471222cd60da
-72.6827305,41.7407862,75,CAMPFIELD AVE,,,,,,,f123e0487e4f4ca3
-72.6786824,41.7384551,22,DOUGLAS ST,,,,,,,c1a916723e05cabe
-72.6803113,41.7387448,183,PRESTON ST,,,,,,,1abcb4b73d7dc696
-72.6775984,41.7419352,108,ADELAIDE ST,,,,,,,ad4d7b7ed7cb482e
-72.6819311,41.7376213,172,CAMPFIELD AVE,,,,,,,12a7a3b0895b490d
-72.6784587,41.7407852,50,BUSHNELL ST,,,,,,,e1d5cfbdd001f629
-72.6827184,41.7396763,109,CAMPFIELD AVE,,,,,,,f4b95c420cfb9bf5
-72.6841882,41.7397888,742,MAPLE AVE,,,,,,,41364c678e628dbf
-72.6804861,41.7387317,187,PRESTON ST,,,,,,,77cbfd755477b31e
-72.678296,41.7390939,139,PRESTON ST,,,,,,,f31d7c05e5466e98
-72.6759701,41.7344517,26,FENWICK ST,,,,,,,f4dcb709b091736b
-72.681715,41.7403246,124,BUSHNELL ST,,,,,,,5704e0049806cabc
-72.6774878,41.7425838,20,STEDMAN ST,,,,,,,807d7272d5a36e47
-72.6822206,41.7382063,154,CAMPFIELD AVE,,,,,,,0c87b8959f9dccda
-72.6755667,41.7368641,453,FRANKLIN AVE,,,,,,,daa79b23f47b4377
-72.6695001,41.7359664,15,OLDS PL,,,,,,,53716a01ee5214d1
-72.6823509,41.740658,82,CAMPFIELD AVE,,,,,,,1eb7b69d8bb59899
-72.6771121,41.7420068,98,ADELAIDE ST,,,,,,,65fe3e2a74e0869d
-72.6818345,41.7403086,126,BUSHNELL ST,,,,,,,f0f29193464e8752
-72.6751003,41.7340346,537,FRANKLIN AVE,,,,,,,52fd4be6071c0687
-72.6827343,41.7394455,115,CAMPFIELD AVE,,,,,,,0d0b2ce1c1f6a4a7
-72.6818496,41.7410308,203,ADELAIDE ST,,,,,,,17984315e3ed7007
-72.6781573,41.7376943,10,GILMAN ST,,,,,,,51a050d5f63d863b
-72.6749932,41.7335557,551,FRANKLIN AVE,,,,,,,63d2c3f5c77e47fd
-72.6818462,41.7385008,219,PRESTON ST,,,,,,,ff1d96ca53c3d898
-72.6775945,41.7431697,99,BARKER ST,,,,,,,0699a2c62d0a8152
-72.6792265,41.7428881,137,BARKER ST,,,,,,,5b7912dd9c15153d
-72.6791736,41.740665,66,BUSHNELL ST,,,,,,,9d206cfd3e78fef1
-72.6801443,41.7427155,159,BARKER ST,,,,,,,5ce8f608b2531d6d
